"x","y"
32,-4.23616291105525
37.5,-4.23826534777564
43,-4.23827591067756
48.5,-4.23831838341037
54,-4.23833340640455
59.5,-4.23838332546908
65,-4.24208661756073
70.5,-4.24665444163059
76,-4.24779740776917
81.5,-4.25456674815391
87,-4.26923960880045
92.5,-4.31252880317547
98,-4.43642792747924
103.5,-4.49231290104635
109,-4.52299056018778
114.5,-4.55776517443483
120,-4.60591418413849
125.5,-4.6381486916549
131,-4.66873983973372
136.5,-4.69555957580079
142,-4.70557055741277
147.5,-4.72268054581477
153,-4.78520865044519
158.5,-4.82007992334741
164,-4.85732774240157
169.5,-4.90854625034279
175,-4.92561080089552
180.5,-4.97777124730801
186,-5.0175640081839
191.5,-5.04407382670761
197,-5.05313231635933
202.5,-5.05021918500332
208,-5.04073951656085
213.5,-5.02480402526961
219,-5.01616327881446
224.5,-4.99858509499959
230,-4.98374909646088
235.5,-4.97143008153378
241,-4.94497319071145
246.5,-4.91572507309633
252,-4.90230789272956
257.5,-4.88209635391103
263,-4.87964962286601
268.5,-4.87964962286601
274,-4.87964962286601
279.5,-4.87964962286601
285,-4.87964962286601
290.5,-4.87964962286601
296,-4.87964962286601
301.5,-4.87964962286601
307,-4.87964962286601
