"x","y"
22,-4.81561745770516
25.06,-4.8158405821459
28.12,-4.81584440137661
31.18,-4.81586167530994
34.24,-4.81621506781867
37.3,-4.81984673930306
40.36,-4.81985501611579
43.42,-4.81986982576597
46.48,-4.83694985124439
49.54,-4.84337520800043
52.6,-4.85131172587154
55.66,-4.86443788770842
58.72,-4.87373439550259
61.78,-4.89398256602935
64.84,-4.90256516093028
67.9,-4.91141179225065
70.96,-4.92201866921764
74.02,-4.9287160966041
77.08,-4.93262238658705
80.14,-4.93489085318476
83.2,-4.93370367176774
86.26,-4.9335920783655
89.32,-4.93858865107923
92.38,-4.94737757811124
95.44,-4.9498982329354
98.5,-4.94341160451956
101.56,-4.90968365226517
104.62,-4.9008695996889
107.68,-4.88793188018199
110.74,-4.86601130131507
113.8,-4.83508594498206
116.86,-4.81587555825709
119.92,-4.79731952253482
122.98,-4.78774063648248
126.04,-4.7748293613451
129.1,-4.75281663212134
132.16,-4.74327586745458
135.22,-4.73373551043191
138.28,-4.72571640376702
141.34,-4.68407396426916
144.4,-4.65309921539536
147.46,-4.63092792061964
150.52,-4.60622062262427
153.58,-4.53829181525422
156.64,-4.52336739304772
159.7,-4.51296747378879
162.76,-4.51067005957202
165.82,-4.50529588514299
168.88,-4.50143132361036
171.94,-4.50130371378108
175,-4.50128414353018
