"x","y"
1,-4.76808467287584
8.28,-4.99974432259844
15.56,-5.15464886236241
22.84,-5.1794865594469
30.12,-5.1900438900161
37.4,-5.1859696194637
44.68,-5.18496298290816
51.96,-5.1807970947063
59.24,-5.15229438885193
66.52,-5.15643791542864
73.8,-5.09044204078049
81.08,-5.05679246119649
88.36,-4.74239173588882
95.64,-4.71771317050856
102.92,-4.68888454709427
110.2,-4.67706240751691
117.48,-4.67332699780922
124.76,-4.63064971184559
132.04,-4.59840465454826
139.32,-4.60818354084428
146.6,-4.54213471808539
153.88,-4.56684802903114
161.16,-4.5434057654989
168.44,-4.54400766693638
175.72,-4.52099997060419
183,-4.54501848724129
190.28,-4.52470979033074
197.56,-4.53570276990845
204.84,-4.56651165537949
212.12,-4.57119406584567
219.4,-4.5836995245893
226.68,-4.61884262465473
233.96,-4.63434455322002
241.24,-4.66562464010791
248.52,-4.67520421680795
255.8,-4.68441261802585
263.08,-4.69463320944739
270.36,-4.70105937130638
277.64,-4.72014586135753
284.92,-4.71762026793981
292.2,-4.76718355618485
299.48,-4.79027917562161
306.76,-4.79183812239221
314.04,-4.88590077848326
321.32,-4.94039223420477
328.6,-4.9586625516642
335.88,-4.97001633773497
343.16,-4.98698787436625
350.44,-5.01185971964014
357.72,-4.99887588637922
365,-4.84607479530812
