"x","y"
32,-3.15116393705362
37.5,-3.15483164134423
43,-3.15491332877471
48.5,-3.15497758430198
54,-3.15501601085777
59.5,-3.17157207099725
65,-3.21903049832703
70.5,-3.24506903282382
76,-3.25244298908392
81.5,-3.26215158506796
87,-3.26659554920408
92.5,-3.27475571148132
98,-3.28113227334433
103.5,-3.27726130904294
109,-3.26595776302708
114.5,-3.25386397631861
120,-3.2488477381897
125.5,-3.23923105637958
131,-3.22858175492588
136.5,-3.21523758790478
142,-3.21362988155773
147.5,-3.21362913931394
153,-3.21457673895739
158.5,-3.22635771288192
164,-3.22824345025874
169.5,-3.22926643580409
175,-3.23041102401453
180.5,-3.24635054479536
186,-3.26319982609512
191.5,-3.27504200301963
197,-3.28754602062497
202.5,-3.30793566464547
208,-3.33303093528982
213.5,-3.34854920650463
219,-3.35198983049563
224.5,-3.34862222741892
230,-3.35159645504928
235.5,-3.35205921215407
241,-3.35607470840005
246.5,-3.35621216109436
252,-3.3558658008223
257.5,-3.3553150106677
263,-3.35524399850762
268.5,-3.35524597283457
274,-3.35524613398989
279.5,-3.35524613398989
285,-3.3552222058818
290.5,-3.35522289010649
296,-3.35522289010649
301.5,-3.35513118483344
307,-3.35513118483344
