"x","y"
22,-3.33992032210207
25.06,-3.33996255728731
28.12,-3.33998635689529
31.18,-3.3400200199463
34.24,-3.34065533907995
37.3,-3.34468365984087
40.36,-3.34499233417546
43.42,-3.34498615143702
46.48,-3.34567082747126
49.54,-3.35124090905081
52.6,-3.35317877454166
55.66,-3.3532752536417
58.72,-3.35662259761426
61.78,-3.36711672401228
64.84,-3.3699549211973
67.9,-3.36102507720455
70.96,-3.35175297494684
74.02,-3.34419576870582
77.08,-3.33864289251269
80.14,-3.33607213910287
83.2,-3.30965620217029
86.26,-3.28641303161503
89.32,-3.26628427439585
92.38,-3.24581168703583
95.44,-3.22876628617026
98.5,-3.22230854481704
101.56,-3.21664354954401
104.62,-3.20425120565532
107.68,-3.2003437123843
110.74,-3.20114647424382
113.8,-3.19890198094913
116.86,-3.20859001293591
119.92,-3.20641119456243
122.98,-3.21192231451371
126.04,-3.22085114885767
129.1,-3.23570831679397
132.16,-3.24967119568429
135.22,-3.25744733186758
138.28,-3.25712278544409
141.34,-3.2553750270813
144.4,-3.24992783750859
147.46,-3.242866916886
150.52,-3.23062122171416
153.58,-3.22661418480792
156.64,-3.2217649142982
159.7,-3.21336558740409
162.76,-3.20756620692796
165.82,-3.20245643352274
168.88,-3.20230358641307
171.94,-3.20230358641307
175,-3.20230388462064
