"x","y"
32,-3.30523421756758
37.5,-3.30559272249884
43,-3.30559272249884
48.5,-3.30563652775017
54,-3.30557507457581
59.5,-3.29792428525438
65,-3.30030002890888
70.5,-3.29918041217219
76,-3.28547984162817
81.5,-3.28296506024885
87,-3.27726151309982
92.5,-3.25205006874797
98,-3.22752654426453
103.5,-3.20600454453295
109,-3.19078810885364
114.5,-3.18077568389357
120,-3.17279129328678
125.5,-3.16126525831966
131,-3.16005764944754
136.5,-3.13300004205109
142,-3.12570387518174
147.5,-3.10208771010812
153,-3.08709054863964
158.5,-3.09233181546856
164,-3.09924056548647
169.5,-3.09631164540655
175,-3.09053815152769
180.5,-3.08748524268832
186,-3.06339000893191
191.5,-3.04851328680132
197,-3.05328226878019
202.5,-3.05311310029726
208,-3.07873162823976
213.5,-3.09434297650808
219,-3.12495133153188
224.5,-3.15538294321041
230,-3.17949391731767
235.5,-3.2069311405707
241,-3.23562902681117
246.5,-3.25794865837029
252,-3.27471586076623
257.5,-3.28130298210234
263,-3.28376090250989
268.5,-3.29217173720278
274,-3.29217173720278
279.5,-3.29206512921419
285,-3.29206512921419
290.5,-3.29206512921419
296,-3.29206512921419
301.5,-3.29206255261977
307,-3.29206255261977
