"x","y"
1,-4.13587893502187
8.28,-4.19515109005858
15.56,-4.31736339158339
22.84,-4.35972779857221
30.12,-4.3412351748588
37.4,-4.35467509582716
44.68,-4.30662333719203
51.96,-4.07905312640833
59.24,-3.92305135505823
66.52,-3.68205225885086
73.8,-3.48812604075093
81.08,-3.0118438115059
88.36,-2.79786728011129
95.64,-2.54653954817986
102.92,-2.4118294275643
110.2,-2.38373502435013
117.48,-2.29433219478795
124.76,-2.24815867392893
132.04,-2.19163742554378
139.32,-2.23756735750087
146.6,-2.27912912641193
153.88,-2.2894250660305
161.16,-2.30383517027201
168.44,-2.3524117310038
175.72,-2.35777252810796
183,-2.35584990612376
190.28,-2.33489273330963
197.56,-2.37936210081847
204.84,-2.3620515430449
212.12,-2.39541429791407
219.4,-2.37080768440514
226.68,-2.41766304029327
233.96,-2.4514185845903
241.24,-2.44585575004197
248.52,-2.43971179036849
255.8,-2.43812026546423
263.08,-2.46976134635337
270.36,-2.49904346623381
277.64,-2.56804893168445
284.92,-2.61509563318214
292.2,-2.80531202906367
299.48,-3.05297852418512
306.76,-3.1446571168505
314.04,-3.47217707695538
321.32,-3.60644761174089
328.6,-3.76065208023696
335.88,-3.83534828868087
343.16,-3.82238125985742
350.44,-3.8686170220066
357.72,-3.89151012570732
365,-3.81682323798561
