"x","y"
1,-4.91182869353141
8.28,-5.09441998472952
15.56,-5.17898115478379
22.84,-5.19771943609228
30.12,-5.20484090436442
37.4,-5.20241518635561
44.68,-5.19128126854404
51.96,-5.18364363927227
59.24,-5.14898047544139
66.52,-5.15399231829693
73.8,-5.12249503035299
81.08,-5.07870901062078
88.36,-4.82556479335187
95.64,-4.78829305671003
102.92,-4.75282527159747
110.2,-4.74355575849741
117.48,-4.73842226159395
124.76,-4.70399336037596
132.04,-4.68195444989748
139.32,-4.68990716280622
146.6,-4.63905900972979
153.88,-4.65846381379011
161.16,-4.64434146972205
168.44,-4.65187478746882
175.72,-4.63438189648422
183,-4.65419068228944
190.28,-4.62693010274948
197.56,-4.63407918481897
204.84,-4.65791519605567
212.12,-4.66834024456571
219.4,-4.68121131701753
226.68,-4.70156225445639
233.96,-4.70777844374225
241.24,-4.73570211930678
248.52,-4.74351957317927
255.8,-4.75073082977771
263.08,-4.77445182872093
270.36,-4.77791592379928
277.64,-4.78512064108386
284.92,-4.77918558568592
292.2,-4.84520327022643
299.48,-4.86479589971257
306.76,-4.8757947728875
314.04,-4.93796043969943
321.32,-4.97785335633158
328.6,-4.98838403772353
335.88,-5.00112788902056
343.16,-5.01881726143958
350.44,-5.02967127585431
357.72,-5.01114100948959
365,-4.93543597808839
