"x","y"
1,-3.37669132706331
8.28,-3.42263028562624
15.56,-3.49155916983679
22.84,-3.49323210359564
30.12,-3.49713559185898
37.4,-3.50420821272451
44.68,-3.53347085591252
51.96,-3.52997193516943
59.24,-3.51694142163082
66.52,-3.47871446923749
73.8,-3.41880428837477
81.08,-3.28732141877659
88.36,-3.00285585808397
95.64,-2.94489821490719
102.92,-2.93023396801987
110.2,-2.93309278857805
117.48,-2.94804840916187
124.76,-2.99579639356584
132.04,-3.04013573626608
139.32,-3.05825886697762
146.6,-3.10012631733074
153.88,-3.10871594299321
161.16,-3.12297271812757
168.44,-3.17821282937005
175.72,-3.22605987558291
183,-3.22949946849668
190.28,-3.24342063941801
197.56,-3.2761616155447
204.84,-3.26252617779908
212.12,-3.33366896419225
219.4,-3.31393815879989
226.68,-3.26096048688636
233.96,-3.21652638452327
241.24,-3.19542651509154
248.52,-3.17421081079038
255.8,-3.16041536438295
263.08,-3.15898628098515
270.36,-3.1427949944358
277.64,-3.1451336248791
284.92,-3.14304162737105
292.2,-3.16334600405151
299.48,-3.20946224135435
306.76,-3.23475468163235
314.04,-3.25483180834941
321.32,-3.28198792026133
328.6,-3.3029513271812
335.88,-3.33982853875729
343.16,-3.34164670015836
350.44,-3.34623191865663
357.72,-3.34621294231808
365,-3.1970257198111
