"x","y"
1,-4.09744180622127
8.28,-4.12213809010898
15.56,-4.27595030240186
22.84,-4.30613015369107
30.12,-4.30284401612723
37.4,-4.31558991362241
44.68,-4.26103964148455
51.96,-4.02980363341723
59.24,-3.8377363540574
66.52,-3.60111172502947
73.8,-3.44250409947909
81.08,-2.99416935109713
88.36,-2.77211230511774
95.64,-2.51134998164283
102.92,-2.37640640769412
110.2,-2.34532152572888
117.48,-2.26306185828856
124.76,-2.21541591181046
132.04,-2.14546743850912
139.32,-2.19208439502896
146.6,-2.2413571296298
153.88,-2.25679911938214
161.16,-2.26932907701751
168.44,-2.31422294070002
175.72,-2.31803339367536
183,-2.31494880854403
190.28,-2.28523239587954
197.56,-2.3315069693885
204.84,-2.3197836920879
212.12,-2.35042200672288
219.4,-2.31995861685172
226.68,-2.36478662216991
233.96,-2.41284399373393
241.24,-2.40417105559265
248.52,-2.40635013347867
255.8,-2.40376533486493
263.08,-2.43751218140821
270.36,-2.47360869547139
277.64,-2.54366211834387
284.92,-2.59644488139724
292.2,-2.78981021963195
299.48,-3.03174247194259
306.76,-3.12643159361001
314.04,-3.47040654735702
321.32,-3.60597550167802
328.6,-3.74105299872916
335.88,-3.81887851819958
343.16,-3.82948359045615
350.44,-3.86927445331325
357.72,-3.90499540796884
365,-3.82799499617092
